[2020-01-03 10:22:05,010]-INFO: test_01__ page_view埋点正常 line50
[2020-01-03 11:53:33,572]-ERROR: test_01__ page_view埋点异常 line48
[2020-01-03 11:54:40,071]-ERROR: test_01__ page_view埋点异常 line50
[2020-01-03 11:56:18,226]-ERROR: test_01__ page_view埋点异常 line48
[2020-01-03 11:57:24,834]-ERROR: test_01__ home_open埋点异常 line39
[2020-01-03 11:57:25,343]-ERROR: test_01__ device_opened埋点异常 line57
[2020-01-03 11:57:25,534]-ERROR: test_01__ is_open_push埋点异常 line89
[2020-01-03 11:57:25,536]-ERROR: test_01__ android_device_id不存在！ line96
[2020-01-03 11:57:25,665]-ERROR: test_01__ urban_geographical_location埋点异常 line104
[2020-01-03 11:58:28,460]-ERROR: test_01__ page_view埋点异常 line44
[2020-01-03 12:00:27,681]-ERROR: test_01__ 美购首页page_view埋点异常 line49
[2020-01-03 12:02:00,289]-ERROR: test_01__ welfare_home_click_section埋点异常 line41
[2020-01-03 12:02:00,314]-ERROR: test_01__ 美购品类聚合page_view埋点异常 line58
[2020-01-03 12:03:46,477]-ERROR: test_01__ 搜索search_result_open埋点异常 line48
[2020-01-03 12:03:46,507]-ERROR: test_01__ 搜索do_search埋点异常 line58
[2020-01-03 12:05:10,885]-ERROR: testbuild__ 搜索search_result_open埋点异常 line46
[2020-01-03 12:05:11,045]-ERROR: testbuild__ 搜索do_search埋点异常 line56
[2020-01-03 12:06:29,704]-ERROR: test_01__ 搜索search_result_open埋点异常 line45
[2020-01-03 12:06:29,728]-ERROR: test_01__ 搜索do_search埋点异常 line55
[2020-01-03 12:08:05,632]-ERROR: test_01__ 搜索search_result_open埋点异常 line45
[2020-01-03 12:08:05,660]-ERROR: test_01__ 搜索do_search埋点异常 line55
[2020-01-03 12:10:50,172]-ERROR: test_01__ 搜索search_result_open埋点异常 line49
[2020-01-03 12:10:50,209]-ERROR: test_01__ 搜索do_search埋点异常 line59
